TOTALS: 28 of 28,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"35,943","20,667",57.5%,"3,124","8,853",62,25,65,26,16
Algansee Township Precinct 1,"1,388",970,69.88%,101,428,1,1,1,0,0
Athens Township (Out of County),38,0,0%,0,0,0,0,0,0,0
Batavia Township Precinct 1,"1,125",691,61.42%,104,314,0,0,2,0,1
Bethel Township Precinct 1,997,602,60.38%,63,253,4,1,5,2,1
Bronson Township Precinct 1,"1,088",699,64.25%,77,346,0,0,2,0,1
Burlington Township (Out of County),"1,384",0,0%,0,0,0,0,0,0,0
Butler Township Precinct 1,898,625,69.6%,62,262,1,0,2,0,0
California Township Precinct 1,493,260,52.74%,29,134,0,2,2,0,0
City of Bronson Precinct 1,"1,596",861,53.95%,137,362,5,3,5,2,0
City of Coldwater Precinct 1,"1,972",999,50.66%,337,308,5,3,4,4,1
City of Coldwater Precinct 2,"2,134","1,275",59.75%,264,480,5,0,6,3,0
City of Coldwater Precinct 3,"2,307","1,549",67.14%,268,520,4,2,1,4,3
City of Coldwater Precinct 4,"1,897","1,050",55.35%,265,399,3,1,7,3,1
Coldwater Township Precinct 1,"3,009","1,877",62.38%,232,844,4,3,5,3,3
Fredonia Township (Out of County),6,0,0%,0,0,0,0,0,0,0
Gilead Township Precinct 1,548,363,66.24%,41,154,2,1,1,0,0
Girard Township Precinct 1,"1,528","1,053",68.91%,134,519,4,2,2,1,0
Hillsdale County Precincts,597,0,0%,0,0,0,0,0,0,0
Kinderhook Township Precinct 1,"1,539",945,61.4%,118,476,1,1,0,0,0
Matteson Township Precinct 1,"1,016",676,66.54%,86,294,0,0,0,0,0
Newton Township (Out of County),192,0,0%,0,0,0,0,0,0,0
Noble Township Precinct 1,372,272,73.12%,30,165,0,1,2,0,0
Ovid Township Precinct 1,"2,272","1,525",67.12%,185,689,6,0,6,0,3
Quincy Township Precinct 1,"1,439",742,51.56%,99,333,2,0,0,0,1
Quincy Township Precinct 2,"2,025","1,180",58.27%,136,570,3,1,2,0,0
Sherwood Township Precinct 1,"1,720","1,028",59.77%,140,459,6,0,4,3,0
Tekonsha Township (Out of County),23,0,0%,0,0,0,0,0,0,0
Union Township Precinct 1,"2,340","1,425",60.9%,216,544,6,3,6,1,1
