TOTALS: 21 of 21,Registered voters,Ballots Cast,Turnout,Joseph R. Biden/Kamala D. Harris,Donald J. Trump/Michael R. Pence,Jo Jorgensen/Jeremy Cohen,Don Blankenship/William Mohr,Howie Hawkins/Angela Walker,Rocky De La Fuente/Darcy Richardson,Total write-in
TOTAL,"37,008","26,361",71.23%,"9,130","16,699",286,40,45,13,29
Calvin Township Precinct 1,"1,425","1,017",71.37%,426,572,7,3,0,0,1
City of Dowagiac Ward 1 Precinct 1,"1,364",692,50.73%,420,254,7,2,3,3,2
City of Dowagiac Ward 2 Precinct 2,"1,276",812,63.64%,396,390,18,0,1,0,1
City of Dowagiac Ward 3 Precinct 3,"1,264",654,51.74%,292,344,13,2,1,0,0
Howard Township Precinct 1,"2,203","1,645",74.67%,537,"1,086",18,2,0,0,0
Howard Township Precinct 2,"2,311","1,674",72.44%,556,"1,085",20,1,2,1,1
Jefferson Township Precinct 1,"1,887","1,414",74.93%,450,927,20,2,2,0,2
LaGrange Township Precinct 1,"2,494","1,581",63.39%,752,786,21,3,5,2,3
Marcellus Township Precinct 1,"1,717","1,222",71.17%,427,761,25,2,3,1,1
Mason Township Precinct 1,"1,851","1,313",70.93%,346,944,15,3,1,1,1
Milton Township Precinct 1,"2,416","1,987",82.24%,596,"1,356",19,3,1,0,4
Newberg Township Precinct 1,"1,204",887,73.67%,228,642,11,0,2,0,1
Ontwa Township Precinct 1,"2,403","1,615",67.21%,537,"1,045",22,2,4,0,0
Ontwa Township Precinct 2,"2,377","1,708",71.86%,534,"1,137",15,3,4,2,3
Penn Township Precinct 1,"1,381","1,025",74.22%,395,613,3,2,3,0,3
Pokagon Township Precinct 1,"1,593","1,192",74.83%,421,751,6,2,2,1,0
Porter Township Precinct 1,"1,574","1,251",79.48%,355,877,15,0,1,0,1
Porter Township Precinct 2,"1,297","1,011",77.95%,297,701,6,1,2,0,1
Silver Creek Township Precinct 1,"2,357","1,726",73.23%,565,"1,129",10,5,4,0,2
Volinia Township Precinct 1,820,660,80.49%,194,455,2,1,2,0,2
Wayne Township Precinct 1,"1,794","1,275",71.07%,406,844,13,1,2,2,0
