TOTALS: 21 of 21,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"37,008","26,361",71.23%,"4,890","10,560",103,31,86,31,8
Calvin Township Precinct 1,"1,425","1,017",71.37%,257,372,3,1,4,1,0
City of Dowagiac Ward 1 Precinct 1,"1,364",692,50.73%,313,144,5,0,9,4,1
City of Dowagiac Ward 2 Precinct 2,"1,276",812,63.64%,236,254,6,2,4,1,1
City of Dowagiac Ward 3 Precinct 3,"1,264",654,51.74%,191,214,3,1,2,1,2
Howard Township Precinct 1,"2,203","1,645",74.67%,277,671,8,1,9,0,1
Howard Township Precinct 2,"2,311","1,674",72.44%,325,648,5,1,3,1,0
Jefferson Township Precinct 1,"1,887","1,414",74.93%,225,535,4,2,2,2,1
LaGrange Township Precinct 1,"2,494","1,581",63.39%,419,472,10,2,5,3,0
Marcellus Township Precinct 1,"1,717","1,222",71.17%,202,456,5,2,2,3,0
Mason Township Precinct 1,"1,851","1,313",70.93%,181,632,3,2,2,3,0
Milton Township Precinct 1,"2,416","1,987",82.24%,293,890,10,1,2,0,0
Newberg Township Precinct 1,"1,204",887,73.67%,120,409,1,1,3,3,0
Ontwa Township Precinct 1,"2,403","1,615",67.21%,275,647,6,2,3,0,0
Ontwa Township Precinct 2,"2,377","1,708",71.86%,247,696,4,0,7,1,0
Penn Township Precinct 1,"1,381","1,025",74.22%,199,386,3,2,3,2,1
Pokagon Township Precinct 1,"1,593","1,192",74.83%,237,489,6,1,7,0,0
Porter Township Precinct 1,"1,574","1,251",79.48%,189,633,7,1,4,1,0
Porter Township Precinct 2,"1,297","1,011",77.95%,160,498,3,0,2,0,1
Silver Creek Township Precinct 1,"2,357","1,726",73.23%,240,715,7,6,3,1,0
Volinia Township Precinct 1,820,660,80.49%,77,241,3,1,3,0,0
Wayne Township Precinct 1,"1,794","1,275",71.07%,227,558,1,2,7,4,0
