TOTALS: 31 of 31,Registered voters,Ballots Cast,Turnout,Joseph R. Biden/Kamala D. Harris,Donald J. Trump/Michael R. Pence,Jo Jorgensen/Jeremy Cohen,Don Blankenship/William Mohr,Howie Hawkins/Angela Walker,Rocky De La Fuente/Darcy Richardson,Total write-in,QW - Brian T. Carroll,QW - Tom Hoefling,QW - Tara Renee Hunter,QW - Jade Simmons,QW - Kasey Wells,Unqualified Write-Ins
TOTAL,"35,707","27,315",76.5%,"7,873","18,857",331,28,56,11,41,5,0,0,0,0,36
Ashland Township Precinct 1,"1,864","1,440",77.25%,374,"1,042",17,0,0,0,1,0,0,0,0,0,1
Barton Township Precinct 1,543,437,80.48%,100,327,7,1,0,0,1,0,0,0,0,0,1
Beaver Township Precinct 1,321,247,76.95%,64,179,1,0,2,0,1,0,0,0,0,0,1
Big Prairie Township Precinct 1,"1,756","1,212",69.02%,356,825,18,1,8,0,1,0,0,0,0,0,1
Bridgeton Township Precinct 1,"1,546","1,186",76.71%,329,826,16,5,3,0,1,0,0,0,0,0,1
Brooks Township Precinct 1,981,803,81.86%,229,561,9,0,0,2,1,0,0,0,0,0,1
Brooks Township Precinct 2,"1,855","1,446",77.95%,436,988,11,1,0,1,2,0,0,0,0,0,2
City of Fremont Precinct 1,"1,682","1,326",78.83%,487,806,9,1,8,0,5,0,0,0,0,0,5
City of Fremont Precinct 2,"1,570","1,195",76.11%,419,748,17,1,2,0,2,0,0,0,0,0,2
City of Grant Precinct 1,585,406,69.4%,121,270,8,0,3,0,0,0,0,0,0,0,0
City of Newaygo Precinct 1,"1,570","1,045",66.56%,329,678,23,3,4,0,2,0,0,0,0,0,2
City of White Cloud Precinct 1,790,492,62.28%,148,332,7,1,1,1,2,0,0,0,0,0,2
Croton Township Precinct 1,"1,236",965,78.07%,270,681,11,0,1,0,0,0,0,0,0,0,0
Croton Township Precinct 2,"1,410","1,124",79.72%,368,727,18,2,0,0,3,0,0,0,0,0,3
Dayton Township Precinct 1,"1,454","1,222",84.04%,354,847,11,1,1,0,4,0,0,0,0,0,4
Denver Township Precinct 1,"1,438","1,007",70.03%,325,669,8,0,2,0,0,0,0,0,0,0,0
Ensley Township Precinct 1,"1,905","1,563",82.05%,347,"1,185",18,1,4,1,2,0,0,0,0,0,2
Everett Township Precinct 1,"1,439","1,043",72.48%,281,738,14,3,3,0,1,0,0,0,0,0,1
Garfield Township Precinct 1,"1,687","1,386",82.16%,410,952,16,0,0,0,2,2,0,0,0,0,0
Goodwell Township Precinct 1,408,339,83.09%,87,240,9,1,0,0,0,0,0,0,0,0,0
Grant Township Precinct 1,"2,285","1,753",76.72%,388,"1,332",19,1,1,0,3,0,0,0,0,0,3
Home Township Precinct 1,188,154,81.91%,35,115,2,0,0,0,1,0,0,0,0,0,1
Lilley Township Precinct 1,636,458,72.01%,143,308,5,0,0,1,0,0,0,0,0,0,0
Lincoln Township Precinct 1,"1,028",758,73.74%,232,506,10,1,2,0,0,0,0,0,0,0,0
Merrill Township Precinct 1,581,397,68.33%,168,222,3,0,1,1,0,0,0,0,0,0,0
Monroe Township Precinct 1,247,198,80.16%,40,152,1,0,2,2,1,0,0,0,0,0,1
Norwich Township Precinct 1,421,362,85.99%,102,255,2,1,1,0,0,0,0,0,0,0,0
Sheridan Charter Township Precinct 1,"1,798","1,426",79.31%,412,987,13,2,3,0,4,3,0,0,0,0,1
Sherman Township Precinct 1,"1,506","1,208",80.21%,338,840,18,0,3,2,1,0,0,0,0,0,1
Troy Township Precinct 1,187,132,70.59%,28,102,0,1,0,0,0,0,0,0,0,0,0
Wilcox Township Precinct 1,790,585,74.05%,153,417,10,0,1,0,0,0,0,0,0,0,0
