TOTALS: 23 of 23,Registered voters,Ballots Cast,Turnout,Joseph R. Biden,Donald J. Trump,Jo Jorgensen,Don Blankenship,Howie Hawkins,Rocky De La Fuente,Total write-in,QW - Brian T. Carroll,QW - Tom Hoefling,QW - Tara Renee Hunter,QW - Jade Simmons,QW - Kasey Wells,Unqualified Write-Ins
TOTAL,"37,877","28,125",74.25%,"9,262","18,127",416,49,63,18,46,0,0,0,1,0,45
Burr Oak Township Precinct 1,"1,632","1,185",72.61%,303,852,17,0,2,0,0,0,0,0,0,0,0
Colon Township Precinct 1,"1,978","1,590",80.38%,440,"1,100",26,4,2,2,6,0,0,0,0,0,6
Constantine Township Precinct 1,"1,390","1,093",78.63%,325,749,11,0,5,0,1,0,0,0,0,0,1
Constantine Township Precinct 2,"1,149",748,65.1%,225,499,11,3,1,0,1,0,0,0,0,0,1
Fabius Township Precinct 1,"2,417","2,016",83.41%,698,"1,280",19,2,5,1,0,0,0,0,0,0,0
Fawn River Township Precinct 1,981,760,77.47%,188,558,10,0,1,0,0,0,0,0,0,0,0
Florence Township Precinct 1,922,624,67.68%,136,478,3,1,2,0,2,0,0,0,0,0,2
Flowerfield Township Precinct 1,"1,079",919,85.17%,274,629,7,1,4,1,0,0,0,0,0,0,0
Leonidas Township Precinct 1,728,554,76.1%,130,412,5,1,3,0,1,0,0,0,0,0,1
Lockport Township Precinct 1,"2,604","2,035",78.15%,802,"1,175",29,3,6,1,6,0,0,0,0,0,6
Mendon Township Precinct 1,"1,867","1,492",79.91%,523,929,24,1,2,2,3,0,0,0,0,0,3
Mottville Township Precinct 1,911,718,78.81%,181,520,4,3,1,0,2,0,0,0,0,0,2
Nottawa Township Precinct 1,"2,175","1,698",78.07%,514,"1,137",24,5,8,0,3,0,0,0,0,0,3
Park Township Precinct 1,"1,704","1,356",79.58%,448,867,24,3,3,1,0,0,0,0,0,0,0
Sherman Township Precinct 1,"2,108","1,792",85.01%,506,"1,247",22,3,0,3,1,0,0,0,0,0,1
Sturgis City Precinct 1,"1,800","1,380",76.67%,497,838,28,1,4,0,4,0,0,0,0,0,4
Sturgis City Precinct 2,"1,290",731,56.67%,310,394,16,2,2,2,1,0,0,0,0,0,1
Sturgis City Precinct 3,"1,146",675,58.9%,233,411,27,1,1,0,1,0,0,0,0,0,1
Sturgis City Precinct 4,"1,409",971,68.91%,372,577,12,1,3,2,2,0,0,0,0,0,2
Sturgis Township Precinct 1,"1,238",926,74.8%,271,632,14,1,0,0,0,0,0,0,0,0,0
Three Rivers City Precinct 1,"2,107","1,413",67.06%,654,728,15,6,1,1,4,0,0,0,1,0,3
Three Rivers City Precinct 2,"2,745","1,579",57.52%,694,829,42,1,1,2,6,0,0,0,0,0,6
White Pigeon Township Precinct 1,"2,497","1,870",74.89%,538,"1,286",26,6,6,0,2,0,0,0,0,0,2
