TOTALS: 23 of 23,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"37,877","28,125",74.25%,"4,502","11,145",135,42,104,33,29
Burr Oak Township Precinct 1,"1,632","1,185",72.61%,157,541,9,3,2,0,0
Colon Township Precinct 1,"1,978","1,590",80.38%,191,652,6,3,3,1,1
Constantine Township Precinct 1,"1,390","1,093",78.63%,149,481,6,3,4,3,1
Constantine Township Precinct 2,"1,149",748,65.1%,109,310,5,3,6,0,0
Fabius Township Precinct 1,"2,417","2,016",83.41%,312,758,8,1,6,0,4
Fawn River Township Precinct 1,981,760,77.47%,102,347,2,0,1,2,0
Florence Township Precinct 1,922,624,67.68%,47,269,0,0,3,0,0
Flowerfield Township Precinct 1,"1,079",919,85.17%,138,414,4,1,2,2,1
Leonidas Township Precinct 1,728,554,76.1%,62,264,2,1,2,1,0
Lockport Township Precinct 1,"2,604","2,035",78.15%,355,661,6,4,8,1,1
Mendon Township Precinct 1,"1,867","1,492",79.91%,208,541,7,2,4,0,0
Mottville Township Precinct 1,911,718,78.81%,84,351,8,2,4,0,0
Nottawa Township Precinct 1,"2,175","1,698",78.07%,213,671,3,2,8,4,2
Park Township Precinct 1,"1,704","1,356",79.58%,199,533,8,2,3,3,0
Sherman Township Precinct 1,"2,108","1,792",85.01%,225,789,1,1,4,0,2
Sturgis City Precinct 1,"1,800","1,380",76.67%,264,531,5,1,4,3,0
Sturgis City Precinct 2,"1,290",731,56.67%,178,265,4,1,2,1,2
Sturgis City Precinct 3,"1,146",675,58.9%,136,257,8,0,3,1,1
Sturgis City Precinct 4,"1,409",971,68.91%,203,367,4,0,2,2,3
Sturgis Township Precinct 1,"1,238",926,74.8%,150,395,10,1,7,1,1
Three Rivers City Precinct 1,"2,107","1,413",67.06%,332,414,6,4,6,3,5
Three Rivers City Precinct 2,"2,745","1,579",57.52%,429,509,18,5,15,3,4
White Pigeon Township Precinct 1,"2,497","1,870",74.89%,259,825,5,2,5,2,1
