TOTALS: 33 of 33,Registered voters,Ballots Cast,Turnout,Joseph R. Biden,Donald J. Trump,Jo Jorgensen,Don Blankenship,Howie Hawkins,Rocky De La Fuente,Total write-in
TOTAL,"60,495","39,311",64.98%,"16,800","21,591",504,60,91,14,83
Almena Township Precinct 1,"2,529","2,003",79.2%,876,"1,079",32,3,1,0,6
Almena Township Precinct 2,"1,781","1,387",77.88%,625,734,14,1,2,0,5
Antwerp Township Precinct 1,"1,821","1,191",65.4%,538,622,18,1,2,1,5
Antwerp Township Precinct 2,"2,701","2,031",75.19%,922,"1,059",30,3,5,1,3
Antwerp Township Precinct 3,"1,570","1,185",75.48%,493,666,21,0,0,0,1
Antwerp Township Precinct 4,"1,936","1,330",68.7%,624,674,18,4,3,0,2
Antwerp Township Precinct 5,"2,322","1,783",76.79%,735,999,29,4,2,0,6
Arlington Township Precinct 1,"1,576",968,61.42%,362,580,15,0,3,0,2
Bangor Township Precinct 1,"1,511",846,55.99%,256,576,6,0,2,0,0
Bloomingdale Township Precinct 1,"2,419","1,515",62.63%,540,934,22,3,5,0,5
City of Bangor Precinct 1,"1,544",728,47.15%,355,350,14,2,4,0,0
City of Gobles Precinct 1,641,420,65.52%,156,253,9,1,0,0,0
City of Hartford Precinct 1,"1,689",896,53.05%,379,501,7,0,6,0,1
City of South Haven Ward 1 Precinct 1,"1,066",761,71.39%,480,263,7,1,3,0,5
City of South Haven Ward 2 Precinct 1,"1,361",900,66.13%,558,328,4,2,1,2,2
City of South Haven Ward 3 Precinct 1,"1,312",920,70.12%,522,385,8,0,1,0,1
City of South Haven Ward 3 Precinct 2,10,8,80%,6,1,0,0,0,0,0
Columbia Township Precinct 1,"2,119","1,208",57.01%,410,769,16,3,2,0,1
Covert Township Precinct 1,"1,999","1,063",53.18%,629,408,9,1,1,0,5
Decatur Township Precinct 1,"2,669","1,629",61.03%,661,924,29,4,2,3,2
Geneva Township Precinct 1,"2,758","1,698",61.57%,744,910,25,1,4,0,4
Hamilton Township Precinct 1,"1,170",700,59.83%,247,438,9,0,1,0,4
Hartford Township Precinct 1,"2,252","1,201",53.33%,350,818,17,4,4,0,2
Keeler Township Precinct 1,"1,654","1,077",65.11%,344,706,17,3,2,0,1
Lawrence Township Precinct 1,"2,626","1,548",58.95%,598,913,19,2,5,4,4
Paw Paw Township Precinct 1,"2,521","1,466",58.15%,725,704,17,5,4,0,4
Paw Paw Township Precinct 2,"1,766","1,226",69.42%,544,656,6,2,7,0,3
Paw Paw Township Precinct 3,"1,181",811,68.67%,360,433,9,1,3,0,0
Pine Grove Township Precinct 1,"2,457","1,768",71.96%,627,"1,109",10,1,7,2,4
Porter Township Precinct 1,"2,239","1,561",69.72%,626,906,15,3,1,0,2
South Haven Township Precinct 1,"2,170","1,401",64.56%,644,724,20,3,4,0,0
South Haven Township Precinct 2,"1,160",747,64.4%,365,369,9,0,0,0,2
Waverly Township Precinct 1,"1,965","1,335",67.94%,499,800,23,2,4,1,1
